venue_id,slug,name,primary_subcategory,subcategories,google_url,last_verified,rating,review_count,phone,website,address,latitude,longitude
ChIJ98rvRDM_sz4RcC4hakF1KZ4,147-snooker-club-j98rvr,147 snooker club,billiards,billiards,https://www.google.com/maps/place/147+snooker+club/data=!4m7!3m6!1s0x3eb33f3344efcaf7:0x9e2975416a212e70!8m2!3d24.9047545!4d67.0781264!16s%2Fg%2F11fr1w_3mg!19sChIJ98rvRDM_sz4RcC4hakF1KZ4?authuser=0&hl=en&rclk=1,2026-06-30 01:27:43.983847+05:00,4.6,38,+92 304 1531283,https://www.facebook.com/147-Snooker-Club-2210481865635734/,"crown square, Block 13 A Gulshan-e-Iqbal, Karachi, Pakistan",24.9047545,67.0781264
ChIJ3wc4Emg_sz4R3fVMq-ZzzvQ,160-a-community-sports-j3wc4e,160-A Community Sports,padel,padel,https://www.google.com/maps/place/160-A+Community+Sports/data=!4m7!3m6!1s0x3eb33f68123807df:0xf4ce73e6ab4cf5dd!8m2!3d24.8795341!4d67.0549103!16s%2Fg%2F11mck3cf9l!19sChIJ3wc4Emg_sz4R3fVMq-ZzzvQ?authuser=0&hl=en&rclk=1,2026-06-30 01:27:43.983847+05:00,4.3,57,+92 326 0222667,https://160sportscommunity.com/,"Block 3, 160-A Community Sports, 160-A Sir Syed Road, Block 3 P.E.C.H.S., Karachi, 75400, Pakistan",24.879534099999997,67.0549103
ChIJte6e6rU4sz4RyWkqWTzngjc,786-shender-2-snooker-academy-jte6e6,786 Shender-2 Snooker Academy,billiards,billiards,https://www.google.com/maps/place/786+Shender-2+Snooker+Academy/data=!4m7!3m6!1s0x3eb338b5ea9eeeb5:0x3782e73c592a69c9!8m2!3d24.9294308!4d67.0988015!16s%2Fg%2F11f5dt_r3h!19sChIJte6e6rU4sz4RyWkqWTzngjc?authuser=0&hl=en&rclk=1,2026-06-30 01:27:43.983847+05:00,4.2,198,+92 321 8790304,,"1st & Top Floor &, 786 Shender-2 Snooker Academy, Shahji Workshop, Block 7 Gulshan-e-Iqbal, Karachi, 75300, Pakistan",24.9294308,67.0988015
ChIJI1RZBAU9sz4RMHq_6trYEDg,a-k-khan-park-ji1rzb,A.K. Khan Park,parks,parks,https://www.google.com/maps/place/A.K.+Khan+Park/data=!4m7!3m6!1s0x3eb33d0504595423:0x3810d8daeabf7a30!8m2!3d24.7971755!4d67.037033!16s%2Fg%2F11c1qbnyxg!19sChIJI1RZBAU9sz4RMHq_6trYEDg?authuser=0&hl=en&rclk=1,2026-06-30 01:27:43.983847+05:00,4.2,4609,,,"Q2WP+VRF A.K. Khan Park, Defence V Defence Housing Authority, Karachi, 75500, Pakistan",24.797175499999998,67.037033
ChIJk3DlQtAXsz4RuRQMW3VV_0c,aaa-cruises-jk3dlq,AAA Cruises,boating,boating,https://www.google.com/maps/place/AAA+Cruises/data=!4m7!3m6!1s0x3eb317d042e57093:0x47ff55755b0c14b9!8m2!3d24.8169043!4d67.0412072!16s%2Fg%2F11q8zsk7zq!19sChIJk3DlQtAXsz4RuRQMW3VV_0c?authuser=0&hl=en&rclk=1,2026-06-30 01:27:43.983847+05:00,3.9,23,+92 318 1278473,https://www.facebook.com/aaacruises,"5th Commercial Ln, Zamzama Commercial Area Defence V Karachi, 75500, Pakistan",24.816904299999997,67.0412072
ChIJJ2loV6Y9sz4Ro6tJlO5POJs,aan-art-space-museum-jj2lov,AAN Art Space & Museum,museums-galleries,museums-galleries,https://www.google.com/maps/place/AAN+Art+Space+%26+Museum/data=!4m7!3m6!1s0x3eb33da657686927:0x9b384fee9449aba3!8m2!3d24.8087768!4d67.0317611!16s%2Fg%2F11bwjgm4k3!19sChIJJ2loV6Y9sz4Ro6tJlO5POJs?authuser=0&hl=en&rclk=1,2026-06-30 01:27:43.983847+05:00,4.5,44,+92 21 35821462,http://gandhara-art.com/,"AAN Art Space & Museum، house number f-65/2, block 4, clifton, Block 4 Clifton, Karachi, 75500, Pakistan",24.8087768,67.0317611
ChIJWayZStdrsz4R4of8hcUaPuk,abc-swimming-pool-jwayzs,ABC swimming pool,swimming,swimming,https://www.google.com/maps/place/ABC+swimming+pool/data=!4m7!3m6!1s0x3eb36bd74a99ac59:0xe93e1ac585fc87e2!8m2!3d24.9284909!4d66.9601692!16s%2Fg%2F11jcj7x_mt!19sChIJWayZStdrsz4R4of8hcUaPuk?authuser=0&hl=en&rclk=1,2026-06-30 01:27:43.983847+05:00,4.0,59,+92 315 2040907,,"Karachi, Sector 4c, Saeedabad Rd, 4-C Sector 4 Baldia, Karachi, 75760, Pakistan",24.9284909,66.9601692
ChIJI74Zy_s9sz4RkUzBlfkM1lw,ajs-art-ji74zy,AJs Art,pottery-art,pottery-art,https://www.google.com/maps/place/AJs+Art/data=!4m7!3m6!1s0x3eb33dfbcb19be23:0x5cd60cf995c14c91!8m2!3d24.808057!4d67.0298386!16s%2Fg%2F11r36gwjg6!19sChIJI74Zy_s9sz4RkUzBlfkM1lw?authuser=0&hl=en&rclk=1,2026-06-30 01:27:43.983847+05:00,5.0,13,+92 303 2952528,,"street no 04, Block 4 Block 3 Clifton, Karachi, 75500, Pakistan",24.808056999999998,67.02983859999999
ChIJC4DIb_U-sz4R-XdYW5GgZP0,apmf-a-r-tabba-sports-complex-jc4dib,APMF A.R Tabba Sports Complex,box-cricket,"box-cricket,billiards,swimming,tennis",https://www.google.com/maps/place/APMF+A.R+Tabba+Sports+Complex/data=!4m7!3m6!1s0x3eb33ef56fc8800b:0xfd64a0915b5877f9!8m2!3d24.8770625!4d67.0464375!16s%2Fg%2F1q62bwb0s!19sChIJC4DIb_U-sz4R-XdYW5GgZP0?authuser=0&hl=en&rclk=1,2026-06-30 01:27:43.983847+05:00,4.2,509,+92 21 34134857,,"Jamshed Quarters Muslimabad, Karachi, 75400, Pakistan",24.877062499999997,67.0464375
ChIJe4QHVyU_sz4RoWnKS4_C7qQ,aram-bagh-je4qhv,ARAM BAGH,parks,parks,https://www.google.com/maps/place/ARAM+BAGH/data=!4m7!3m6!1s0x3eb33f255707847b:0xa4eec28f4bca69a1!8m2!3d24.8558404!4d67.0133997!16s%2Fg%2F11sg8kjx4p!19sChIJe4QHVyU_sz4RoWnKS4_C7qQ?authuser=0&hl=en&rclk=1,2026-06-30 01:27:43.983847+05:00,4.0,194,,,"V247+89J ARAM BAGH, Shahrah-e-Liaquat, Aram Bagh Karachi, Pakistan",24.855840399999998,67.0133997
ChIJx_eHi88_sz4RTHPEJPrDZ8o,as7-studio-jx_ehi,AS7 Studio,music-rooms,music-rooms,https://www.google.com/maps/place/AS7+Studio/data=!4m7!3m6!1s0x3eb33fcf8b87f7c7:0xca67c3fa24c4734c!8m2!3d24.8962123!4d67.0177236!16s%2Fg%2F11lgx9jjk8!19sChIJx_eHi88_sz4RTHPEJPrDZ8o?authuser=0&hl=en&rclk=1,2026-06-30 01:27:43.983847+05:00,5.0,42,+92 309 2069641,,"A27, Manghopir Rd, Asif Colony, Karachi, 75700, Pakistan",24.8962123,67.0177236
ChIJIV28XRM-sz4RQztRb06KmAU,afshan-cinema-jiv28x,Afshan Cinema,cinemas,cinemas,https://www.google.com/maps/place/Afshan+Cinema/data=!4m7!3m6!1s0x3eb33e135dbc5d21:0x5988a4e6f513b43!8m2!3d24.8646656!4d67.021243!16s%2Fg%2F11xds2sdd!19sChIJIV28XRM-sz4RQztRb06KmAU?authuser=0&hl=en&rclk=1,2026-06-30 01:27:43.983847+05:00,3.7,34,+92 336 3048892,,"V27C+VF9 Afshan Cinema, Marston Rd, Preedy Quarters Saddar Town, Karachi, 75600, Pakistan",24.8646656,67.021243
ChIJJ6p-KEE-sz4RoaCXQcO0N4k,aga-khan-gymkhana-jj6p-k,Aga Khan Gymkhana,box-cricket,"box-cricket,billiards,futsal,swimming,tennis",https://www.google.com/maps/place/Aga+Khan+Gymkhana/data=!4m7!3m6!1s0x3eb33e41287eaa27:0x8937b4c34197a0a1!8m2!3d24.8759255!4d67.0267383!16s%2Fg%2F11y7p3kwt!19sChIJJ6p-KEE-sz4RoaCXQcO0N4k?authuser=0&hl=en&rclk=1,2026-06-30 01:27:43.983847+05:00,4.4,1732,+92 21 32228163,,"V2GG+9MH Aga Khan Gymkhana, Garden Ln, behind Zoological Garden, Garden East Soldier Bazaar, Karachi, Pakistan",24.875925499999997,67.02673829999999
