venue_id,subcategory
ChIJTdtDblE5sz4RWLOvHtCgpdE,trampoline
ChIJjz7iPwA_sz4RiJI7D9cE4Q8,padel
ChIJKUPHjNY_sz4RRjtyMkDmGYg,padel
ChIJCdDy4i4_sz4RH2_QkmRCvOQ,arcades
ChIJYcZDKeo9sz4RIfLBHjn16dM,escape-rooms
ChIJnboH52k7sz4RMzNrvoZkvh0,karting
ChIJDy2PVO45sz4R56MGXiO62mM,padel
ChIJL6ArBcw-sz4RdE_dF04BXPw,bowling
ChIJK9U9sE4_sz4RUSl-JipJMtU,arcades
ChIJNyXBSVk_sz4ReK3GNvYka54,billiards
ChIJ-bwK7vU9sz4RzqT5U-PhUIs,billiards
ChIJx1BkaAA_sz4Ra0lpHKiA8jE,billiards
ChIJy0pBqNs-sz4RrUY2Pa4FL0w,futsal
ChIJZ_UdHSc_sz4RtVan5pMjUy8,billiards
ChIJkczRgbI_sz4RqaMdbSQmUTo,billiards
ChIJQaz6xDA_sz4RxRDZJAcSJDE,billiards
