venue_id,name,subcategory_slug,subcategory_name,category_slug,category_name,subcategories,category_slugs,google_category,rating,review_count,latitude,longitude,area,address,city,price_level,website,phone,hours,photo_url,photos,google_url,status,is_open,source_query,last_verified,evidence_url
ChIJ47oyLQBBsz4RjRUsJbfKLOk,Dreamers Arena Aqua Water Park,waterparks,Water Parks,outdoors-adventure,Outdoors & Adventure,waterparks,outdoors-adventure,Swimming pool,4.1,48,24.9759875,67.0677031,North Karachi,"X3G9+93W Dreamers Arena Aqua Water Park, 7/A, 7/A Service Rd, Sector 11-I North Karachi, Karachi, Pakistan",Karachi,,,+92 332 7017017,{},,[],"https://www.google.com/maps/place/Dreamers+Arena+Aqua+Water+Park/@24.9,67.15,13z/data=!4m6!3m5!1s0x3eb341002d32bae3:0xe92ccab7252c158d!8m2!3d24.9759875!4d67.0677031!16s%2Fg%2F11y50zlmkf?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxMi4wIKXMDSoASAFQAw%3D%3D",Open,1,approved-waterpark-review,2026-07-14T00:00:00+05:00,"https://www.google.com/maps/place/Dreamers+Arena+Aqua+Water+Park/@24.9,67.15,13z/data=!4m6!3m5!1s0x3eb341002d32bae3:0xe92ccab7252c158d!8m2!3d24.9759875!4d67.0677031!16s%2Fg%2F11y50zlmkf?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxMi4wIKXMDSoASAFQAw%3D%3D"
ChIJzWP8uF9Psz4Rn6YJSCHqK_c,Samzu Park By Ruknuddin Group,waterparks,Water Parks,outdoors-adventure,Outdoors & Adventure,waterparks,outdoors-adventure,Amusement park,3.8,363,25.0732992,67.1896758,Gadap Town,"35FQ+8V7 Samzu Park By Ruknuddin Group, Agha Khan Flats Gadap Town, Karachi, Pakistan",Karachi,,,+92 332 2235918,"{""Friday"":[""9 AM-5 PM""],""Monday"":[""9 AM-5 PM""],""Saturday"":[""9 AM-5 PM""],""Sunday"":[""9 AM-5 PM""],""Thursday"":[""9 AM-5 PM""],""Tuesday"":[""9 AM-5 PM""],""Wednesday"":[""9 AM-5 PM""]}",,[],"https://www.google.com/maps/place/Samzu+Park+By+Ruknuddin+Group/@24.9,67.15,13z/data=!4m6!3m5!1s0x3eb34f5fb8fc63cd:0xf72bea214809a69f!8m2!3d25.0732992!4d67.1896758!16s%2Fg%2F1tfj1nh4?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxMi4wIKXMDSoASAFQAw%3D%3D",Open,1,approved-waterpark-review,2026-07-14T00:00:00+05:00,"https://www.google.com/maps/place/Samzu+Park+By+Ruknuddin+Group/@24.9,67.15,13z/data=!4m6!3m5!1s0x3eb34f5fb8fc63cd:0xf72bea214809a69f!8m2!3d25.0732992!4d67.1896758!16s%2Fg%2F1tfj1nh4?hl=en&entry=ttu&g_ep=EgoyMDI2MDcwOC4wIKXMDSoASAFQAw%3D%3D"
ChIJaxk2tGo2sz4RsE5nT70iqjs,"KITRAWP - Karachi (Ideal Tourist Resorts & Water Park)",waterparks,Water Parks,outdoors-adventure,Outdoors & Adventure,waterparks,outdoors-adventure,Farm,4.7,15,24.954079,67.2622275,Gadap Town,"KITRAWP - Karachi, Survey 378 Deh Kharkharo, Main Memon Goth Road, Malir, Gadap Town, Karachi, Pakistan",Karachi,,,+92 300 9212829,"{""Friday"":[""8 AM-11 PM""],""Monday"":[""8 AM-11 PM""],""Saturday"":[""8 AM-11 PM""],""Sunday"":[""8 AM-11 PM""],""Thursday"":[""8 AM-11 PM""],""Tuesday"":[""8 AM-11 PM""],""Wednesday"":[""8 AM-11 PM""]}",,[],"https://www.google.com/maps/place/KITRAWP+-+Karachi+(+Ideal+Tourist+Resorts+%26+Water+Park)/@24.9,67.15,13z/data=!4m6!3m5!1s0x3eb3366ab436196b:0x3baa22bd4f674eb0!8m2!3d24.954079!4d67.2622275!16s%2Fg%2F11cn7cldfb?hl=en&entry=ttu&g_ep=EgoyMDI2MDcwOC4wIKXMDSoASAFQAw%3D%3D",Open,1,approved-waterpark-review,2026-07-14T00:00:00+05:00,"https://www.google.com/maps/place/KITRAWP+-+Karachi+(+Ideal+Tourist+Resorts+%26+Water+Park)/@24.9,67.15,13z/data=!4m6!3m5!1s0x3eb3366ab436196b:0x3baa22bd4f674eb0!8m2!3d24.954079!4d67.2622275!16s%2Fg%2F11cn7cldfb?hl=en&entry=ttu&g_ep=EgoyMDI2MDcwOC4wIKXMDSoASAFQAw%3D%3D"
ChIJY-1omhlGsz4Rnl-l9BzDOVw,Sun Rise Water Park & Farm Houses,waterparks,Water Parks,outdoors-adventure,Outdoors & Adventure,waterparks,outdoors-adventure,Water park,3.8,388,25.0535072,67.185506,Taiser Town,"Shah Mureed Karachi, Gadap Hub Dureji Road, Chandna Farm House near Taiser Town, Karachi, Pakistan",Karachi,,,+92 333 1005588,"{""Friday"":[""Open 24 hours""],""Monday"":[""Open 24 hours""],""Saturday"":[""Open 24 hours""],""Sunday"":[""Open 24 hours""],""Thursday"":[""Open 24 hours""],""Tuesday"":[""Open 24 hours""],""Wednesday"":[""Open 24 hours""]}",,[],"https://www.google.com/maps/place/Sun+Rise+Water+Park+%26+Farm+Houses/@24.9,67.15,13z/data=!4m6!3m5!1s0x3eb346199a68ed63:0x5c39c31cf4a55f9e!8m2!3d25.0535072!4d67.185506!16s%2Fg%2F11c55k4llf?hl=en&entry=ttu&g_ep=EgoyMDI2MDcwOC4wIKXMDSoASAFQAw%3D%3D",Open,1,approved-waterpark-review,2026-07-14T00:00:00+05:00,"https://www.google.com/maps/place/Sun+Rise+Water+Park+%26+Farm+Houses/@24.9,67.15,13z/data=!4m6!3m5!1s0x3eb346199a68ed63:0x5c39c31cf4a55f9e!8m2!3d25.0535072!4d67.185506!16s%2Fg%2F11c55k4llf?hl=en&entry=ttu&g_ep=EgoyMDI2MDcwOC4wIKXMDSoASAFQAw%3D%3D"
ChIJETewpq3QTDkRfJGdL9YnkMU,Paradise Island Water Park Gharo,waterparks,Water Parks,outdoors-adventure,Outdoors & Adventure,waterparks,outdoors-adventure,Water park,4.2,1397,24.755796,67.5613013,Gharo,"N-5 Karachi Thatta, National Highway, Gharo, 73210, Pakistan",Gharo,,,+92 331 2080123,"{""Friday"":[""10 AM-5 PM""],""Monday"":[""10 AM-5 PM""],""Saturday"":[""10 AM-5 PM""],""Sunday"":[""10 AM-5 PM""],""Thursday"":[""10 AM-5 PM""],""Tuesday"":[""10 AM-5 PM""],""Wednesday"":[""10 AM-5 PM""]}",,[],"https://www.google.com/maps/place/Paradise+Island+Water+Park+Gharo/@24.9,67.15,13z/data=!4m6!3m5!1s0x394cd0ada6b03711:0xc59027d62f9d917c!8m2!3d24.755796!4d67.5613013!16s%2Fg%2F11g8bq24h7?hl=en&entry=ttu&g_ep=EgoyMDI2MDcwOC4wIKXMDSoASAFQAw%3D%3D",Open,1,approved-waterpark-review,2026-07-14T00:00:00+05:00,"https://www.google.com/maps/place/Paradise+Island+Water+Park+Gharo/@24.9,67.15,13z/data=!4m6!3m5!1s0x394cd0ada6b03711:0xc59027d62f9d917c!8m2!3d24.755796!4d67.5613013!16s%2Fg%2F11g8bq24h7?hl=en&entry=ttu&g_ep=EgoyMDI2MDcwOC4wIKXMDSoASAFQAw%3D%3D"
ChIJO_Xoa2JPsz4RnowXIK0GTxw,Cheeku Water Park and Farm House,waterparks,Water Parks,outdoors-adventure,Outdoors & Adventure,waterparks,outdoors-adventure,Water park,3.6,136,25.0845902,67.190647,Gadap Town,"35MR+R7J Cheeku Water Park and Farm House, Gadap Town, Karachi, Pakistan",Karachi,,,+92 333 2263046,"{""Friday"":[""9 AM-6 PM""],""Monday"":[""9 AM-6 PM""],""Saturday"":[""9 AM-6 PM""],""Sunday"":[""9 AM-6 PM""],""Thursday"":[""9 AM-6 PM""],""Tuesday"":[""9 AM-6 PM""],""Wednesday"":[""9 AM-6 PM""]}",,[],"https://www.google.com/maps/place/Cheeku+Water+Park+and+Farm+House/@24.9,67.15,13z/data=!4m6!3m5!1s0x3eb34f626be8f53b:0x1c4f06ad20178c9e!8m2!3d25.0845902!4d67.190647!16s%2Fg%2F11f3c3kj67?hl=en&entry=ttu&g_ep=EgoyMDI2MDcwOC4wIKXMDSoASAFQAw%3D%3D",Open,1,approved-waterpark-review,2026-07-14T00:00:00+05:00,"https://www.google.com/maps/place/Cheeku+Water+Park+and+Farm+House/@24.9,67.15,13z/data=!4m6!3m5!1s0x3eb34f626be8f53b:0x1c4f06ad20178c9e!8m2!3d25.0845902!4d67.190647!16s%2Fg%2F11f3c3kj67?hl=en&entry=ttu&g_ep=EgoyMDI2MDcwOC4wIKXMDSoASAFQAw%3D%3D"
ChIJ_an4YA02sz4RJshJzOK26Zs,Picnic World Water Park,waterparks,Water Parks,outdoors-adventure,Outdoors & Adventure,waterparks,outdoors-adventure,Water park,3.9,1821,24.9573125,67.2730625,Gadap Town,"X74F+W6P M9 motorway memon goth interchange Damba, Goth Gadap Town, Karachi, 75330, Pakistan",Karachi,,,,"{""Friday"":[""10 AM-5 PM""],""Monday"":[""10 AM-5 PM""],""Saturday"":[""10 AM-5 PM""],""Sunday"":[""10 AM-5 PM""],""Thursday"":[""10 AM-5 PM""],""Tuesday"":[""10 AM-5 PM""],""Wednesday"":[""10 AM-5 PM""]}",,[],"https://www.google.com/maps/place/Picnic+World+Water+Park/@24.9,67.15,12z/data=!4m6!3m5!1s0x3eb3360d60f8a9fd:0x9be9b6e2cc49c826!8m2!3d24.9573125!4d67.2730625!16s%2Fg%2F11b7w2_nv_?hl=en&entry=ttu&g_ep=EgoyMDI2MDcwOC4wIKXMDSoASAFQAw%3D%3D",Open,1,approved-waterpark-review,2026-07-14T00:00:00+05:00,"https://www.google.com/maps/place/Picnic+World+Water+Park/@24.9,67.15,12z/data=!4m6!3m5!1s0x3eb3360d60f8a9fd:0x9be9b6e2cc49c826!8m2!3d24.9573125!4d67.2730625!16s%2Fg%2F11b7w2_nv_?hl=en&entry=ttu&g_ep=EgoyMDI2MDcwOC4wIKXMDSoASAFQAw%3D%3D"
ChIJLRmR0lVPsz4RVscYrkU0vLA,Cosy Water Park,waterparks,Water Parks,outdoors-adventure,Outdoors & Adventure,waterparks,outdoors-adventure,Water park,3.9,931,25.0602777,67.1923037,Gadap Town,"356R+4W7 Cosy Water Park, Gadap Town, Karachi, Pakistan",Karachi,,,,"{""Friday"":[""10 AM-5 PM""],""Monday"":[""10 AM-5 PM""],""Saturday"":[""10 AM-5 PM""],""Sunday"":[""10 AM-5 PM""],""Thursday"":[""10 AM-5 PM""],""Tuesday"":[""10 AM-5 PM""],""Wednesday"":[""10 AM-5 PM""]}",,[],"https://www.google.com/maps/place/Cosy+Water+Park/@24.9,67.15,12z/data=!4m6!3m5!1s0x3eb34f55d291192d:0xb0bc3445ae18c756!8m2!3d25.0602777!4d67.1923037!16s%2Fg%2F1tgw3hpg?hl=en&entry=ttu&g_ep=EgoyMDI2MDcwOC4wIKXMDSoASAFQAw%3D%3D",Open,1,approved-waterpark-review,2026-07-14T00:00:00+05:00,"https://www.google.com/maps/place/Cosy+Water+Park/@24.9,67.15,12z/data=!4m6!3m5!1s0x3eb34f55d291192d:0xb0bc3445ae18c756!8m2!3d25.0602777!4d67.1923037!16s%2Fg%2F1tgw3hpg?hl=en&entry=ttu&g_ep=EgoyMDI2MDcwOC4wIKXMDSoASAFQAw%3D%3D"
ChIJiXWgBQA3sz4Rxbg-AAYMZfI,Water World Water Park Karachi,waterparks,Water Parks,outdoors-adventure,Outdoors & Adventure,waterparks,outdoors-adventure,Water park,4.1,128,24.957364,67.2675759,Damba,"Karachi - Hyderabad Motorway Karachi, Gadap Town, Dumba, 75330, Pakistan",Karachi,,,+92 310 1080804,"{""Friday"":[""10 AM-5 PM""],""Monday"":[""10 AM-5 PM""],""Saturday"":[""10 AM-5 PM""],""Sunday"":[""10 AM-5 PM""],""Thursday"":[""10 AM-5 PM""],""Tuesday"":[""10 AM-5 PM""],""Wednesday"":[""10 AM-5 PM""]}",,[],"https://www.google.com/maps/place/Water+World+Water+Park+Karachi/data=!4m7!3m6!1s0x3eb3370005a07589:0xf2650c06003eb8c5!8m2!3d24.957364!4d67.2675759!16s%2Fg%2F11y3vgsw8r!19sChIJiXWgBQA3sz4Rxbg-AAYMZfI?authuser=0&hl=en&rclk=1",Open,1,approved-waterpark-review,2026-07-14T00:00:00+05:00,"https://www.google.com/maps/place/Water+World+Water+Park+Karachi/data=!4m7!3m6!1s0x3eb3370005a07589:0xf2650c06003eb8c5!8m2!3d24.957364!4d67.2675759!16s%2Fg%2F11y3vgsw8r!19sChIJiXWgBQA3sz4Rxbg-AAYMZfI?authuser=0&hl=en&rclk=1"
ChIJj_X1Z1w-sz4ReCUDgrzrY9M,TDF Ghar,heritage,Heritage,culture,Culture,heritage,culture,Community center,4.5,2835,24.8778344,67.038079,Soldier Bazaar,"Muhammad Ali Jinnah Rd, Soldier Bazaar Catholic Colony, Karachi, Pakistan",Karachi,,,+92 301 8447051,"{""Friday"":[""2 PM-10 PM""],""Monday"":[""Closed""],""Saturday"":[""2 PM-10 PM""],""Sunday"":[""2 PM-10 PM""],""Thursday"":[""2 PM-10 PM""],""Tuesday"":[""2 PM-10 PM""],""Wednesday"":[""2 PM-10 PM""]}",,[],"https://www.google.com/maps/place/TDF+Ghar/@24.8607,67.0011,14z/data=!4m6!3m5!1s0x3eb33e5c67f5f58f:0xd363ebbc82032578!8m2!3d24.8778344!4d67.038079!16s%2Fg%2F11g9qj0s3c?hl=en&entry=ttu&g_ep=EgoyMDI2MDcwOC4wIKXMDSoASAFQAw%3D%3D",Open,1,approved-heritage-review,2026-07-14T00:00:00+05:00,"https://www.google.com/maps/place/TDF+Ghar/@24.8607,67.0011,14z/data=!4m6!3m5!1s0x3eb33e5c67f5f58f:0xd363ebbc82032578!8m2!3d24.8778344!4d67.038079!16s%2Fg%2F11g9qj0s3c?hl=en&entry=ttu&g_ep=EgoyMDI2MDcwOC4wIKXMDSoASAFQAw%3D%3D"
