google_category,subcategory
padel court,padel
padel club,padel
futsal court,futsal
soccer field,futsal
football field,futsal
pool hall,billiards
pool billard club,billiards
bowling alley,bowling
movie theater,cinemas
video arcade,arcades
escape room center,escape-rooms
hookah bar,shisha
go-karting venue,karting
board game club,board-game-cafe
tennis court,tennis
squash court,squash
swimming pool,swimming
swimming facility,swimming
roller skating rink,skating
skating rink,skating
paintball center,paintball
