venue_id,subcategory
ChIJjz7iPwA_sz4RiJI7D9cE4Q8,bowling
ChIJKUPHjNY_sz4RRjtyMkDmGYg,karting
ChIJNyXBSVk_sz4ReK3GNvYka54,swimming
ChIJ-bwK7vU9sz4RzqT5U-PhUIs,tennis
ChIJx1BkaAA_sz4Ra0lpHKiA8jE,swimming
ChIJy0pBqNs-sz4RrUY2Pa4FL0w,tennis
ChIJZ_UdHSc_sz4RtVan5pMjUy8,swimming
ChIJkczRgbI_sz4RqaMdbSQmUTo,tennis
ChIJQaz6xDA_sz4RxRDZJAcSJDE,tennis
ChIJv2woRAA9sz4RquKHUAZSPuI,tennis
ChIJZyP2lfs_sz4R5ZnccbL5Olw,tennis
ChIJj7f-DkY_sz4RCZWQfxtJ1Gs,tennis
ChIJl3Xc2lw5sz4R76qenCwSjMs,boating
ChIJ14WEsUM9sz4RRbhdiN42lX0,boating
ChIJ_2RmQvs9sz4R_hc4xQmonaI,boating
ChIJAQBRn7g9sz4RhXv44oS7EUw,boating
ChIJb1Nklwk9sz4RuIbp-mwbCi4,boating
ChIJa3xCdr8-sz4RanOi6H1h2sY,box-cricket
ChIJ40L12MU9sz4RbqWiKPTrgfo,parks
ChIJbcDgnqg_sz4RVjQ7NihVFXA,parks
ChIJF56oh5k9sz4RbZbIlvxAKHA,parks
ChIJoXw8Ui0_sz4RvJu1aoFwe50,parks
ChIJTdtDblE5sz4RWLOvHtCgpdE,adventure-parks
ChIJ8_3IWkQ5sz4RlCk2NMUyvNc,adventure-parks
ChIJS9jYonc5sz4R3qE163A5rUQ,adventure-parks
ChIJN3aGHwA_sz4RJGfeyavNsOs,squash
ChIJ7XPvCQA_sz4RAotqaTRB3GY,squash
ChIJ6er1u_Q-sz4RMFo272tdDTc,bowling
ChIJJVijrUM_sz4RioywLBqHK4o,paintball
ChIJ_8SHnl86sz4RXmPa0OAzKlw,futsal
ChIJYcZDKeo9sz4RIfLBHjn16dM,laser-tag
